# model name run652
# Line luminosities from upper level 2 from 6385.00 to 6735.00 Angstroms
# Lower Levels:                0           1
# Line Wavelengths:      1025.44      6562.84
       nwind            x            z    i    j       inwind     wind_vol   plasma_vol  LowerLev000    LowerLev001  
           0   3.6259e+08   3.6259e+08    0    0           -2   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
           1   3.6259e+08   8.3650e+08    0    1           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
           2   3.6259e+08   1.0933e+09    0    2           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
           3   3.6259e+08   1.4290e+09    0    3           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
           4   3.6259e+08   1.8677e+09    0    4           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
           5   3.6259e+08   2.4411e+09    0    5           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
           6   3.6259e+08   3.1906e+09    0    6           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
           7   3.6259e+08   4.1701e+09    0    7           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
           8   3.6259e+08   5.4504e+09    0    8           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
           9   3.6259e+08   7.1237e+09    0    9           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          10   3.6259e+08   9.3107e+09    0   10           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          11   3.6259e+08   1.2169e+10    0   11           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          12   3.6259e+08   1.5905e+10    0   12           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          13   3.6259e+08   2.0789e+10    0   13           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          14   3.6259e+08   2.7171e+10    0   14           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          15   3.6259e+08   3.5513e+10    0   15           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          16   3.6259e+08   4.6416e+10    0   16           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          17   3.6259e+08   6.0666e+10    0   17           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          18   3.6259e+08   7.9291e+10    0   18           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          19   3.6259e+08   1.0363e+11    0   19           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          20   3.6259e+08   1.3545e+11    0   20           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          21   3.6259e+08   1.7704e+11    0   21           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          22   3.6259e+08   2.3139e+11    0   22           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          23   3.6259e+08   3.0243e+11    0   23           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          24   3.6259e+08   3.9528e+11    0   24           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          25   3.6259e+08   5.1663e+11    0   25           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          26   3.6259e+08   6.7524e+11    0   26           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          27   3.6259e+08   8.8255e+11    0   27           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          28   3.6259e+08   1.1535e+12    0   28           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          29   3.6259e+08   1.5076e+12    0   29           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          30   8.3650e+08   3.6259e+08    1    0            1   1.5594e+26    1.5594e+26    0.0000e+00    6.4579e-19
          31   8.3650e+08   8.3650e+08    1    1           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          32   8.3650e+08   1.0933e+09    1    2           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          33   8.3650e+08   1.4290e+09    1    3           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          34   8.3650e+08   1.8677e+09    1    4           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          35   8.3650e+08   2.4411e+09    1    5           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          36   8.3650e+08   3.1906e+09    1    6           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          37   8.3650e+08   4.1701e+09    1    7           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          38   8.3650e+08   5.4504e+09    1    8           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          39   8.3650e+08   7.1237e+09    1    9           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          40   8.3650e+08   9.3107e+09    1   10           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          41   8.3650e+08   1.2169e+10    1   11           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          42   8.3650e+08   1.5905e+10    1   12           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          43   8.3650e+08   2.0789e+10    1   13           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          44   8.3650e+08   2.7171e+10    1   14           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
          45   8.3650e+08   3.5513e+10    1   15           -1   0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
