Run_Number,Disk.mdot(msol/yr),Wind.mdot(msol/yr),KWD.d(in_units_of_rstar),KWD.mdot_r_exponent,KWD.acceleration_length(cm),KWD.acceleration_exponent
0.0,3e-09,9e-11,0.55,0.0,725182000.0,0.5
1.0,3e-09,9e-11,0.55,0.0,725182000.0,1.5
2.0,3e-09,9e-11,0.55,0.0,725182000.0,4.5
3.0,3e-09,9e-11,0.55,0.0,7251820000.0,0.5
4.0,3e-09,9e-11,0.55,0.0,7251820000.0,1.5
5.0,3e-09,9e-11,0.55,0.0,7251820000.0,4.5
6.0,3e-09,9e-11,0.55,0.0,72518200000.0,0.5
7.0,3e-09,9e-11,0.55,0.0,72518200000.0,1.5
8.0,3e-09,9e-11,0.55,0.0,72518200000.0,4.5
9.0,3e-09,9e-11,0.55,0.25,725182000.0,0.5
10.0,3e-09,9e-11,0.55,0.25,725182000.0,1.5
11.0,3e-09,9e-11,0.55,0.25,725182000.0,4.5
12.0,3e-09,9e-11,0.55,0.25,7251820000.0,0.5
13.0,3e-09,9e-11,0.55,0.25,7251820000.0,1.5
14.0,3e-09,9e-11,0.55,0.25,7251820000.0,4.5
15.0,3e-09,9e-11,0.55,0.25,72518200000.0,0.5
16.0,3e-09,9e-11,0.55,0.25,72518200000.0,1.5
17.0,3e-09,9e-11,0.55,0.25,72518200000.0,4.5
18.0,3e-09,9e-11,0.55,1.0,725182000.0,0.5
19.0,3e-09,9e-11,0.55,1.0,725182000.0,1.5
20.0,3e-09,9e-11,0.55,1.0,725182000.0,4.5
21.0,3e-09,9e-11,0.55,1.0,7251820000.0,0.5
22.0,3e-09,9e-11,0.55,1.0,7251820000.0,1.5
23.0,3e-09,9e-11,0.55,1.0,7251820000.0,4.5
24.0,3e-09,9e-11,0.55,1.0,72518200000.0,0.5
25.0,3e-09,9e-11,0.55,1.0,72518200000.0,1.5
26.0,3e-09,9e-11,0.55,1.0,72518200000.0,4.5
27.0,3e-09,9e-11,5.5,0.0,725182000.0,0.5
28.0,3e-09,9e-11,5.5,0.0,725182000.0,1.5
29.0,3e-09,9e-11,5.5,0.0,725182000.0,4.5
30.0,3e-09,9e-11,5.5,0.0,7251820000.0,0.5
31.0,3e-09,9e-11,5.5,0.0,7251820000.0,1.5
32.0,3e-09,9e-11,5.5,0.0,7251820000.0,4.5
33.0,3e-09,9e-11,5.5,0.0,72518200000.0,0.5
34.0,3e-09,9e-11,5.5,0.0,72518200000.0,1.5
35.0,3e-09,9e-11,5.5,0.0,72518200000.0,4.5
36.0,3e-09,9e-11,5.5,0.25,725182000.0,0.5
37.0,3e-09,9e-11,5.5,0.25,725182000.0,1.5
38.0,3e-09,9e-11,5.5,0.25,725182000.0,4.5
39.0,3e-09,9e-11,5.5,0.25,7251820000.0,0.5
40.0,3e-09,9e-11,5.5,0.25,7251820000.0,1.5
41.0,3e-09,9e-11,5.5,0.25,7251820000.0,4.5
42.0,3e-09,9e-11,5.5,0.25,72518200000.0,0.5
43.0,3e-09,9e-11,5.5,0.25,72518200000.0,1.5
44.0,3e-09,9e-11,5.5,0.25,72518200000.0,4.5
45.0,3e-09,9e-11,5.5,1.0,725182000.0,0.5
46.0,3e-09,9e-11,5.5,1.0,725182000.0,1.5
47.0,3e-09,9e-11,5.5,1.0,725182000.0,4.5
48.0,3e-09,9e-11,5.5,1.0,7251820000.0,0.5
49.0,3e-09,9e-11,5.5,1.0,7251820000.0,1.5
50.0,3e-09,9e-11,5.5,1.0,7251820000.0,4.5
51.0,3e-09,9e-11,5.5,1.0,72518200000.0,0.5
52.0,3e-09,9e-11,5.5,1.0,72518200000.0,1.5
53.0,3e-09,9e-11,5.5,1.0,72518200000.0,4.5
54.0,3e-09,9e-11,55.0,0.0,725182000.0,0.5
55.0,3e-09,9e-11,55.0,0.0,725182000.0,1.5
56.0,3e-09,9e-11,55.0,0.0,725182000.0,4.5
57.0,3e-09,9e-11,55.0,0.0,7251820000.0,0.5
58.0,3e-09,9e-11,55.0,0.0,7251820000.0,1.5
59.0,3e-09,9e-11,55.0,0.0,7251820000.0,4.5
60.0,3e-09,9e-11,55.0,0.0,72518200000.0,0.5
61.0,3e-09,9e-11,55.0,0.0,72518200000.0,1.5
62.0,3e-09,9e-11,55.0,0.0,72518200000.0,4.5
63.0,3e-09,9e-11,55.0,0.25,725182000.0,0.5
64.0,3e-09,9e-11,55.0,0.25,725182000.0,1.5
65.0,3e-09,9e-11,55.0,0.25,725182000.0,4.5
66.0,3e-09,9e-11,55.0,0.25,7251820000.0,0.5
67.0,3e-09,9e-11,55.0,0.25,7251820000.0,1.5
68.0,3e-09,9e-11,55.0,0.25,7251820000.0,4.5
69.0,3e-09,9e-11,55.0,0.25,72518200000.0,0.5
70.0,3e-09,9e-11,55.0,0.25,72518200000.0,1.5
71.0,3e-09,9e-11,55.0,0.25,72518200000.0,4.5
72.0,3e-09,9e-11,55.0,1.0,725182000.0,0.5
73.0,3e-09,9e-11,55.0,1.0,725182000.0,1.5
74.0,3e-09,9e-11,55.0,1.0,725182000.0,4.5
75.0,3e-09,9e-11,55.0,1.0,7251820000.0,0.5
76.0,3e-09,9e-11,55.0,1.0,7251820000.0,1.5
77.0,3e-09,9e-11,55.0,1.0,7251820000.0,4.5
78.0,3e-09,9e-11,55.0,1.0,72518200000.0,0.5
79.0,3e-09,9e-11,55.0,1.0,72518200000.0,1.5
80.0,3e-09,9e-11,55.0,1.0,72518200000.0,4.5
81.0,3e-09,3e-10,0.55,0.0,725182000.0,0.5
82.0,3e-09,3e-10,0.55,0.0,725182000.0,1.5
83.0,3e-09,3e-10,0.55,0.0,725182000.0,4.5
84.0,3e-09,3e-10,0.55,0.0,7251820000.0,0.5
85.0,3e-09,3e-10,0.55,0.0,7251820000.0,1.5
86.0,3e-09,3e-10,0.55,0.0,7251820000.0,4.5
87.0,3e-09,3e-10,0.55,0.0,72518200000.0,0.5
88.0,3e-09,3e-10,0.55,0.0,72518200000.0,1.5
89.0,3e-09,3e-10,0.55,0.0,72518200000.0,4.5
90.0,3e-09,3e-10,0.55,0.25,725182000.0,0.5
91.0,3e-09,3e-10,0.55,0.25,725182000.0,1.5
92.0,3e-09,3e-10,0.55,0.25,725182000.0,4.5
93.0,3e-09,3e-10,0.55,0.25,7251820000.0,0.5
94.0,3e-09,3e-10,0.55,0.25,7251820000.0,1.5
95.0,3e-09,3e-10,0.55,0.25,7251820000.0,4.5
96.0,3e-09,3e-10,0.55,0.25,72518200000.0,0.5
97.0,3e-09,3e-10,0.55,0.25,72518200000.0,1.5
98.0,3e-09,3e-10,0.55,0.25,72518200000.0,4.5
99.0,3e-09,3e-10,0.55,1.0,725182000.0,0.5
100.0,3e-09,3e-10,0.55,1.0,725182000.0,1.5
101.0,3e-09,3e-10,0.55,1.0,725182000.0,4.5
102.0,3e-09,3e-10,0.55,1.0,7251820000.0,0.5
103.0,3e-09,3e-10,0.55,1.0,7251820000.0,1.5
104.0,3e-09,3e-10,0.55,1.0,7251820000.0,4.5
105.0,3e-09,3e-10,0.55,1.0,72518200000.0,0.5
106.0,3e-09,3e-10,0.55,1.0,72518200000.0,1.5
107.0,3e-09,3e-10,0.55,1.0,72518200000.0,4.5
108.0,3e-09,3e-10,5.5,0.0,725182000.0,0.5
109.0,3e-09,3e-10,5.5,0.0,725182000.0,1.5
110.0,3e-09,3e-10,5.5,0.0,725182000.0,4.5
111.0,3e-09,3e-10,5.5,0.0,7251820000.0,0.5
112.0,3e-09,3e-10,5.5,0.0,7251820000.0,1.5
113.0,3e-09,3e-10,5.5,0.0,7251820000.0,4.5
114.0,3e-09,3e-10,5.5,0.0,72518200000.0,0.5
115.0,3e-09,3e-10,5.5,0.0,72518200000.0,1.5
116.0,3e-09,3e-10,5.5,0.0,72518200000.0,4.5
117.0,3e-09,3e-10,5.5,0.25,725182000.0,0.5
118.0,3e-09,3e-10,5.5,0.25,725182000.0,1.5
119.0,3e-09,3e-10,5.5,0.25,725182000.0,4.5
120.0,3e-09,3e-10,5.5,0.25,7251820000.0,0.5
121.0,3e-09,3e-10,5.5,0.25,7251820000.0,1.5
122.0,3e-09,3e-10,5.5,0.25,7251820000.0,4.5
123.0,3e-09,3e-10,5.5,0.25,72518200000.0,0.5
124.0,3e-09,3e-10,5.5,0.25,72518200000.0,1.5
125.0,3e-09,3e-10,5.5,0.25,72518200000.0,4.5
126.0,3e-09,3e-10,5.5,1.0,725182000.0,0.5
127.0,3e-09,3e-10,5.5,1.0,725182000.0,1.5
128.0,3e-09,3e-10,5.5,1.0,725182000.0,4.5
129.0,3e-09,3e-10,5.5,1.0,7251820000.0,0.5
130.0,3e-09,3e-10,5.5,1.0,7251820000.0,1.5
131.0,3e-09,3e-10,5.5,1.0,7251820000.0,4.5
132.0,3e-09,3e-10,5.5,1.0,72518200000.0,0.5
133.0,3e-09,3e-10,5.5,1.0,72518200000.0,1.5
